model,cadence_bars,cadence_minutes,cost_bps,phase_count,sleeve_count,mean_phase_break_even_cost_bps,median_phase_break_even_cost_bps,worst_phase_break_even_cost_bps,best_phase_break_even_cost_bps,mean_pooled_annualized_net_return,median_pooled_annualized_net_return,worst_pooled_annualized_net_return,best_pooled_annualized_net_return,positive_phase_fraction,mean_positive_sleeve_fraction,mean_pooled_turnover
lightgbm,12,60,5,12,1,0.418440366841,0.287810757165,-0.320258243315,1.38251536616,-1.34556592769,-1.36300644972,-1.60209631387,-1.06105049293,0,0,0.335065845043
mlp,12,60,5,12,1,0.052860460388,0.0578939180386,-0.138749371507,0.215990268231,-6.44092517403,-6.43462380577,-6.70280072219,-6.18144310936,0,0,1.48619749674
momentum_12,12,60,5,12,1,-0.602938495381,-0.574258393071,-0.820859576711,-0.432640143241,-7.64685758407,-7.60157146531,-7.97721249432,-7.42187998671,0,0,1.55794075866
reversal_12,12,60,5,12,1,0.602025726264,0.571184659201,0.426940266137,0.813279676984,-6.00145220668,-6.03355745154,-6.24801317967,-5.7336188742,0,0,1.55781597942
ridge,12,60,5,12,1,0.313638394732,0.299116091911,-0.0383173832055,0.640830567169,-5.71915397998,-5.69196442888,-6.17528142378,-5.32901986165,0,0,1.39317457575
tcn,12,60,5,12,1,-0.0437478449263,-0.0194549242332,-0.295405813827,0.201181078122,-6.22778406832,-6.21203290591,-6.55743971719,-5.91538834293,0,0,1.40961184059
transformer,12,60,5,12,1,0.270048834822,0.317732333974,-0.162073028491,0.454630622905,-4.18050804987,-4.15696391953,-4.57171666698,-3.99412632908,0,0,1.00893131383
lightgbm,1,5,10,1,12,0.415724441158,0.415724441158,0.415724441158,0.415724441158,-2.81315432898,-2.81315432898,-2.81315432898,-2.81315432898,0,0,0.335065845043
mlp,1,5,10,1,12,0.0527071103261,0.0527071103261,0.0527071103261,0.0527071103261,-12.9504702097,-12.9504702097,-12.9504702097,-12.9504702097,0,0,1.48619749674
momentum_12,1,5,10,1,12,-0.603094617706,-0.603094617706,-0.603094617706,-0.603094617706,-14.470638107,-14.470638107,-14.470638107,-14.470638107,0,0,1.55794075866
reversal_12,1,5,10,1,12,0.602193757685,0.602193757685,0.602193757685,0.602193757685,-12.8246861965,-12.8246861965,-12.8246861965,-12.8246861965,0,0,1.55781597942
ridge,1,5,10,1,12,0.313785721713,0.313785721713,0.313785721713,0.313785721713,-11.8212586218,-11.8212586218,-11.8212586218,-11.8212586218,0,0,1.39317457575
tcn,1,5,10,1,12,-0.0434753305995,-0.0434753305995,-0.0434753305995,-0.0434753305995,-12.4018839301,-12.4018839301,-12.4018839301,-12.4018839301,0,0,1.40961184059
transformer,1,5,10,1,12,0.269975866632,0.269975866632,0.269975866632,0.269975866632,-8.59962720445,-8.59962720445,-8.59962720445,-8.59962720445,0,0,1.00893131383
lightgbm,3,15,10,3,4,0.415969124161,0.508240790814,0.187419108101,0.552247473568,-2.81315432898,-2.78126458112,-2.88792155895,-2.77027684688,0,0,0.335065845043
