model,cadence_bars,cadence_minutes,phase,phase_offset_minutes,sleeve_count,capital_fraction_per_sleeve,selected_cohorts,cost_bps,total_periods,total_gross_log_return,total_turnover,break_even_cost_bps,equal_weighted_gross_mean_return,pooled_gross_mean_return,equal_weighted_mean_turnover,pooled_mean_turnover,equal_weighted_net_mean_return,pooled_net_mean_return,equal_weighted_annualized_net_return,pooled_annualized_net_return,positive_sleeve_fraction,all_sleeves_positive
lightgbm,12,60,6,30,1,1,6,10,4341,-0.0477905363587,1492.25,-0.320258243315,-1.10091076615e-05,-1.10091076615e-05,0.343757198802,0.343757198802,-0.000354766306464,-0.000354766306464,-3.10775284462,-3.10775284462,0,False
lightgbm,12,60,7,35,1,1,7,0,4341,-0.0163296024408,1479.5,-0.110372439613,-3.76171445307e-06,-3.76171445308e-06,0.340820087537,0.340820087537,-3.76171445307e-06,-3.76171445308e-06,-0.0329526186089,-0.0329526186089,0,False
lightgbm,12,60,7,35,1,1,7,1,4341,-0.0163296024408,1479.5,-0.110372439613,-3.76171445307e-06,-3.76171445308e-06,0.340820087537,0.340820087537,-3.78437232068e-05,-3.78437232068e-05,-0.331511015291,-0.331511015292,0,False
lightgbm,12,60,7,35,1,1,7,2,4341,-0.0163296024408,1479.5,-0.110372439613,-3.76171445307e-06,-3.76171445308e-06,0.340820087537,0.340820087537,-7.19257319605e-05,-7.19257319606e-05,-0.630069411974,-0.630069411975,0,False
lightgbm,12,60,7,35,1,1,7,5,4341,-0.0163296024408,1479.5,-0.110372439613,-3.76171445307e-06,-3.76171445308e-06,0.340820087537,0.340820087537,-0.000174171758222,-0.000174171758222,-1.52574460202,-1.52574460202,0,False
lightgbm,12,60,7,35,1,1,7,10,4341,-0.0163296024408,1479.5,-0.110372439613,-3.76171445307e-06,-3.76171445308e-06,0.340820087537,0.340820087537,-0.00034458180199,-0.000344581801991,-3.01853658543,-3.01853658544,0,False
lightgbm,12,60,8,40,1,1,8,0,4341,0.000647584396466,1455,0.00445075186575,1.49178621623e-07,1.49178621623e-07,0.335176226676,0.335176226676,1.49178621623e-07,1.49178621623e-07,0.00130680472542,0.00130680472542,1,True
lightgbm,12,60,8,40,1,1,8,1,4341,0.000647584396466,1455,0.00445075186575,1.49178621623e-07,1.49178621623e-07,0.335176226676,0.335176226676,-3.3368444046e-05,-3.3368444046e-05,-0.292307569843,-0.292307569843,0,False
lightgbm,12,60,8,40,1,1,8,2,4341,0.000647584396466,1455,0.00445075186575,1.49178621623e-07,1.49178621623e-07,0.335176226676,0.335176226676,-6.68860667136e-05,-6.68860667136e-05,-0.585921944411,-0.585921944411,0,False
lightgbm,12,60,8,40,1,1,8,5,4341,0.000647584396466,1455,0.00445075186575,1.49178621623e-07,1.49178621623e-07,0.335176226676,0.335176226676,-0.000167438934716,-0.000167438934716,-1.46676506812,-1.46676506811,0,False
lightgbm,12,60,8,40,1,1,8,10,4341,0.000647584396466,1455,0.00445075186575,1.49178621623e-07,1.49178621623e-07,0.335176226676,0.335176226676,-0.000335027048054,-0.000335027048054,-2.93483694096,-2.93483694096,0,False
lightgbm,12,60,9,45,1,1,9,0,4341,-0.00231616453076,1449.25,-0.015981814944,-5.33555524248e-07,-5.33555524248e-07,0.333851647086,0.333851647086,-5.33555524248e-07,-5.33555524248e-07,-0.00467394639241,-0.00467394639241,0,False
