model,fold,regime_dimension,regime,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
lightgbm,3,volatility,high,1,5827,12,1.26765874031,1757.75,0.301656083748,7.21182614315,0.000217549123101,0.000187383514727,0.000187287870886,1.641479589,1.64064174896,0.713018128791,2.51722364092,1
lightgbm,3,volatility,low,0,5635,12,0.642163133006,200,0.0354924578527,32.1081566503,0.000113959739664,0.000113959739664,0.000114392751434,0.998287319456,1.00208050256,0.227703822994,1.87822562846,1
lightgbm,3,volatility,low,0.5,5635,12,0.642163133006,200,0.0354924578527,32.1081566503,0.000113959739664,0.000112185116771,0.000112619027781,0.982741622916,0.986542683363,0.213552339943,1.86169280571,1
lightgbm,3,volatility,low,1,5635,12,0.642163133006,200,0.0354924578527,32.1081566503,0.000113959739664,0.000110410493879,0.000110845304129,0.967195926377,0.971004864166,0.199400856892,1.84515998295,1
lightgbm,3,volatility,medium,0,6094,12,-0.640611419032,752.5,0.123482113554,-8.51310855857,-0.000105121663773,-0.000105121663773,-0.000105415425321,-0.920865774651,-0.923439125811,-1.77210232097,0.333457156676,0.166666666667
lightgbm,3,volatility,medium,0.5,6094,12,-0.640611419032,752.5,0.123482113554,-8.51310855857,-0.000105121663773,-0.000111295769451,-0.000111588556032,-0.974950940388,-0.977515750837,-1.82739872816,0.276354617613,0.166666666667
lightgbm,3,volatility,medium,1,6094,12,-0.640611419032,752.5,0.123482113554,-8.51310855857,-0.000105121663773,-0.000117469875128,-0.000117761686742,-1.02903610612,-1.03159237586,-1.88269513534,0.219252078551,0.166666666667
mlp,1,direction,down,0,5761,12,-0.173760607227,8749.75,1.5187901406,-0.198589225094,-3.01615357102e-05,-3.01615357102e-05,-3.20382151778e-05,-0.264215052822,-0.280654764958,-1.9567777271,0.965248440543,0.333333333333
mlp,1,direction,down,0.5,5761,12,-0.173760607227,8749.75,1.5187901406,-0.198589225094,-3.01615357102e-05,-0.00010610104274,-0.000107971718617,-0.929445134405,-0.945832255089,-2.61740355492,0.291711705849,0.0833333333333
mlp,1,direction,down,1,5761,12,-0.173760607227,8749.75,1.5187901406,-0.198589225094,-3.01615357102e-05,-0.00018204054977,-0.000183905222057,-1.59467521599,-1.61100974522,-3.27802938273,-0.381825028844,0
