model,fold,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
reversal_12,2,0.5,17556,12,2.5849945556,27646.5,1.57476076555,0.935016930027,0.000147242797653,6.85047593756e-05,6.85047593756e-05,0.600101692131,0.600101692131,0.125386014996,0.977340746925,1
reversal_12,2,1,17556,12,2.5849945556,27646.5,1.57476076555,0.935016930027,0.000147242797653,-1.02332789019e-05,-1.02332789019e-05,-0.0896435231804,-0.0896435231804,-0.558259234491,0.284190029221,0.416666666667
reversal_12,3,0,17556,12,1.22227939003,26863.25,1.5301463887,0.455000563979,6.96217469828e-05,6.96217469828e-05,6.96217469828e-05,0.609886503569,0.609886503569,-0.0856203786414,1.70866891938,0.916666666667
reversal_12,3,0.5,17556,12,1.22227939003,26863.25,1.5301463887,0.455000563979,6.96217469828e-05,-6.88557245216e-06,-6.88557245216e-06,-0.0603176146809,-0.0603176146809,-0.754296386844,1.03161013606,0.25
reversal_12,3,1,17556,12,1.22227939003,26863.25,1.5301463887,0.455000563979,6.96217469828e-05,-8.33928918871e-05,-8.33928918871e-05,-0.730521732931,-0.730521732931,-1.42297239505,0.35455135274,0.0833333333333
ridge,1,0,16980,12,0.305113751616,23886.25,1.40672850412,0.127736145948,1.79690077512e-05,1.79690077512e-05,1.79690077512e-05,0.157408507901,0.157408507901,-0.581064053594,0.612209707071,0.75
ridge,1,0.5,16980,12,0.305113751616,23886.25,1.40672850412,0.127736145948,1.79690077512e-05,-5.23674174549e-05,-5.23674174549e-05,-0.458738576905,-0.458738576905,-1.19457359423,-0.00749064628628,0
ridge,1,1,16980,12,0.305113751616,23886.25,1.40672850412,0.127736145948,1.79690077512e-05,-0.000122703842661,-0.000122703842661,-1.07488566171,-1.07488566171,-1.80808313487,-0.619984826363,0
ridge,2,0,17556,12,0.862996451075,24967.25,1.42214912281,0.345651383743,4.91567812186e-05,4.91567812186e-05,4.91567812186e-05,0.430613403475,0.430613403475,-0.0556711326664,0.718149657152,0.916666666667
ridge,2,0.5,17556,12,0.862996451075,24967.25,1.42214912281,0.345651383743,4.91567812186e-05,-2.19506749217e-05,-2.19506749217e-05,-0.192287912314,-0.192287912314,-0.678092185298,0.116236465081,0.25
