model,excluded_symbol,remaining_symbol_count,full_mean_rank_ic,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps,rank_ic_delta,cohort_count,total_periods,pooled_break_even_cost_bps,equal_weighted_break_even_cost_bps,mean_individual_break_even_cost_bps,median_individual_break_even_cost_bps,worst_individual_break_even_cost_bps,best_individual_break_even_cost_bps,mean_turnover,focus_cost_bps,pooled_annualized_net_return_at_focus_cost,positive_cohort_fraction_at_focus_cost,full_break_even_cost_bps,break_even_delta_bps
reversal_12,XRPUSDT,19,0.0440668064672,0.0434549469735,0.0473684210526,0.315595956508,0.137691710167,0.555229209859,0.00884798124945,0.00586706339014,989748,52092,-0.000611859493651,12,52092,0.625396039471,0.625396039471,0.625247075928,0.594352047198,0.45834430684,0.83102817058,1.54364393765,1,-0.506551496237,0,0.602193757685,0.0232022817858
ridge,ADAUSDT,19,0.00971280700294,0.00918784005787,0.00877192982456,0.297943296726,0.0308375457975,0.511134147278,0.00443971665089,0.00284240614744,989748,52092,-0.000524966945072,12,52092,0.299955619588,0.299955619588,0.299954957462,0.289049398751,-0.0571147951887,0.652291513917,1.36944252476,1,-0.839795396332,0,0.313785721713,-0.0138301021246
ridge,APTUSDT,19,0.00971280700294,0.00949136509878,0.00877192982456,0.293388246064,0.0323508703096,0.509943945327,0.00434528413458,0.00277205894102,989748,52092,-0.000221441904162,12,52092,0.311647945994,0.311647945994,0.31150543633,0.358252740105,-0.020105522101,0.601017446434,1.37153977578,1,-0.827033546306,0,0.313785721713,-0.00213777571916
ridge,ARBUSDT,19,0.00971280700294,0.00970378343479,0.0105263157895,0.293634298748,0.033047172882,0.511230131306,0.00436859158346,0.00278590128638,989748,52092,-9.02356815203e-06,12,52092,0.34977967159,0.34977967159,0.349433061875,0.321110396949,-0.0089545841964,0.67037382373,1.37701566459,1,-0.784338494028,0,0.313785721713,0.0359939498769
ridge,ATOMUSDT,19,0.00971280700294,0.00956892115406,0.0105263157895,0.301046383314,0.0317855376594,0.512573907702,0.00434414520352,0.00276622099562,989748,52092,-0.00014388584888,12,52092,0.265595637222,0.265595637222,0.265815267315,0.271634371777,-0.103192046755,0.508645415616,1.36826672042,1,-0.880258278853,0,0.313785721713,-0.0481900844915
ridge,AVAXUSDT,19,0.00971280700294,0.00951170248108,0.0105263157895,0.299458359603,0.0317630220566,0.511806035476,0.00443876660127,0.00284785743469,989748,52092,-0.000201104521855,12,52092,0.295277096925,0.295277096925,0.295302167657,0.311807403151,0.00838892411385,0.547931128433,1.37035437303,1,-0.845970818116,0,0.313785721713,-0.018508624788
ridge,BCHUSDT,19,0.00971280700294,0.00921219131673,0.00877192982456,0.297674351688,0.0309472121616,0.510174306995,0.00432306820874,0.00277017327245,989748,52092,-0.000500615686207,12,52092,0.323620585452,0.323620585452,0.323753319636,0.351728790581,0.0427666934327,0.684318400873,1.3732914843,1,-0.813686694974,0,0.313785721713,0.00983486373863
ridge,BNBUSDT,19,0.00971280700294,0.0108002075941,0.0122807017544,0.291485296947,0.0370523237613,0.514416801044,0.00443498830313,0.00283196313036,989748,52092,0.0010874005912,12,52092,0.315820840803,0.315820840803,0.31570417137,0.306495026217,-0.00204790751746,0.672696455852,1.38050468402,1,-0.827392979767,0,0.313785721713,0.00203511909027
ridge,BTCUSDT,19,0.00971280700294,0.0103841161544,0.0105263157895,0.290998755858,0.0356844005184,0.513591338401,0.00444613548009,0.0028421220354,989748,52092,0.000671309151434,12,52092,0.319972417644,0.319972417644,0.319668491872,0.303661725908,-0.023688204372,0.602858982577,1.3767085157,1,-0.820110992863,0,0.313785721713,0.00618669593123
ridge,DOGEUSDT,19,0.00971280700294,0.00950849449727,0.0105263157895,0.299298368356,0.0317692827712,0.511153344084,0.00443457553271,0.00283804978139,989748,52092,-0.000204312505674,12,52092,0.321887377049,0.321887377049,0.32190142719,0.304853307052,-0.00361252360741,0.673950025943,1.37145818936,1,-0.814682724406,0,0.313785721713,0.00810165533623
ridge,DOTUSDT,19,0.00971280700294,0.00843440781276,0.0105263157895,0.295454698084,0.0285472116959,0.511575673808,0.00440573818876,0.0028157690501,989748,52092,-0.00127839919018,12,52092,0.272629476857,0.272629476857,0.272739999829,0.272480397976,-0.112330208417,0.585389982524,1.36984085848,1,-0.872830510986,0,0.313785721713,-0.0411562448557
ridge,ETCUSDT,19,0.00971280700294,0.00989409849945,0.0105263157895,0.299455430797,0.0330403041051,0.511018966444,0.0044442934647,0.00284792778352,989748,52092,0.000181291496508,12,52092,0.313020880665,0.313020880665,0.312855509783,0.320914732838,-0.0765379520603,0.635343015632,1.37043595946,1,-0.824719738355,0,0.313785721713,-0.000764841048148
