model,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
mlp,5,6,4341,-0.000731466880535,-6.40764987349,0.176864899351,-36.2290646534,0.310527528219,1.48468094909,-3.1752977284
mlp,5,7,4341,-0.000714434804639,-6.25844888864,0.170318689834,-36.7455203814,0.307763188205,1.48462335867,-3.10136148694
mlp,5,8,4341,-0.000738203548813,-6.4666630876,0.172566526861,-37.4734498353,0.300852338171,1.48825155494,-3.2045416054
mlp,5,9,4341,-0.000705644190567,-6.18144310937,0.170629956633,-36.2271856088,0.302464869846,1.47500575904,-3.06320143125
mlp,5,10,4341,-0.000725772018111,-6.35776287865,0.169278873629,-37.5579228663,0.302464869846,1.48398986409,-3.15057633062
mlp,5,11,4341,-0.000734081857858,-6.43055707484,0.162048601264,-39.6828915813,0.288412808109,1.48076480074,-3.18664934496
mlp,10,0,4341,-0.00147730931917,-12.9412296359,0.178264916962,-72.5954935857,0.159640635798,1.48951854411,-6.4129997545
mlp,10,1,4341,-0.00148400250294,-12.9998619258,0.175696258625,-73.990544975,0.156415572449,1.49798433541,-6.44205486526
mlp,10,2,4341,-0.00150517475154,-13.1853308235,0.169801811156,-77.6512967306,0.155494125777,1.49585348998,-6.53396359642
mlp,10,3,4341,-0.00150966001498,-13.2246217312,0.175800445348,-75.2251890204,0.165860400829,1.48900023036,-6.55343412501
mlp,10,4,4341,-0.00148710028427,-13.0269984902,0.174782940457,-74.5324369539,0.155724487445,1.48139829532,-6.45550233403
mlp,10,5,4341,-0.00147886183363,-12.9548296626,0.182682843909,-70.9143200605,0.158258465791,1.48329877908,-6.41973921977
mlp,10,6,4341,-0.00147380735508,-12.9105524305,0.178467791315,-72.3410781035,0.167472932504,1.48468094909,-6.3977977284
mlp,10,7,4341,-0.00145674648398,-12.7610991996,0.172000509238,-74.1922175474,0.162404975812,1.48462335867,-6.32373648694
mlp,10,8,4341,-0.00148232932628,-12.9852048982,0.174371927877,-74.4684368425,0.167012209168,1.48825155494,-6.4347916054
mlp,10,9,4341,-0.00144314707009,-12.641968334,0.172624862695,-73.2337632982,0.163096060815,1.47500575904,-6.26470143125
mlp,10,10,4341,-0.00146776695015,-12.8576384833,0.171158755026,-75.1211264733,0.162174614144,1.48398986409,-6.37157633062
mlp,10,11,4341,-0.00147446425823,-12.9163069021,0.16380237061,-78.8529912843,0.147892190739,1.48076480074,-6.40064934496
momentum_12,0,0,4341,-9.90355475304e-05,-0.867551396366,0.217679995207,-3.98544384172,0.464409122322,1.56139138447,-0.429913311829
momentum_12,0,1,4341,-0.000128418857414,-1.12494919095,0.216916868905,-5.1860844047,0.450587422253,1.56444367657,-0.557466260033
momentum_12,0,2,4341,-8.82221741751e-05,-0.772826245774,0.216003934727,-3.57783411099,0.460723335637,1.55712969362,-0.382972458094
momentum_12,0,3,4341,-8.10041475099e-05,-0.709596332187,0.223905119646,-3.16918314913,0.470859249021,1.55684174153,-0.35163900434
momentum_12,0,4,4341,-9.05698645121e-05,-0.793392013126,0.214812733234,-3.69341240243,0.46463948399,1.55632342778,-0.393163781847
momentum_12,0,5,4341,-7.95495878764e-05,-0.696854389798,0.221028836071,-3.15277591008,0.461875143976,1.55021884358,-0.345324760972
momentum_12,0,6,4341,-8.65439427831e-05,-0.75812493878,0.221717696777,-3.41932533938,0.458419718959,1.55327113568,-0.375687255622
momentum_12,0,7,4341,-0.000125146765911,-1.09628566938,0.221406702609,-4.95145655691,0.45934116563,1.55810873071,-0.543262110818
momentum_12,0,8,4341,-8.58069608268e-05,-0.751668976843,0.221525094292,-3.39315497978,0.467403824004,1.55217691776,-0.372488016949
momentum_12,0,9,4341,-9.16524767694e-05,-0.8028756965,0.220050023827,-3.64860536045,0.452660677263,1.56225524073,-0.397863401656
momentum_12,0,10,4341,-0.000104080169934,-0.911742288623,0.215998054665,-4.22106712968,0.463487675651,1.56357982032,-0.451812017684
momentum_12,0,11,4341,-6.74723282593e-05,-0.591057595551,0.218943615185,-2.6995881796,0.463026952315,1.55954849113,-0.292897376974
momentum_12,1,0,4341,-0.000255174685978,-2.23533024916,0.217761560068,-10.26503598,0.427320893803,1.56139138447,-1.10771331183
momentum_12,1,1,4341,-0.000284863225071,-2.49540185162,0.216993009447,-11.4999181678,0.415111725409,1.56444367657,-1.23659126003
momentum_12,1,2,4341,-0.000243935143537,-2.13687185738,0.216028762553,-9.89160809947,0.422483298779,1.55712969362,-1.05892245809
momentum_12,1,3,4341,-0.000236688321663,-2.07338969777,0.223977127824,-9.25714923622,0.428242340475,1.55684174153,-1.02746400434
momentum_12,1,4,4341,-0.00024620220729,-2.15673133586,0.214878924107,-10.03696079,0.427551255471,1.55632342778,-1.06876378185
momentum_12,1,5,4341,-0.000234571472235,-2.05484609678,0.221143283045,-9.29192181868,0.424095830454,1.55021884358,-1.01827476097
momentum_12,1,6,4341,-0.000241871056351,-2.11879045364,0.221773042675,-9.55386835156,0.419949320433,1.55327113568,-1.04996225562
momentum_12,1,7,4341,-0.000280957638981,-2.46118891748,0.221453706067,-11.1137851842,0.425708362129,1.55810873071,-1.21963711082
momentum_12,1,8,4341,-0.000241024652603,-2.1113759568,0.221582526211,-9.52862119998,0.432388850495,1.55217691776,-1.04628801695
