model,horizon_bars,horizon_minutes,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,median_annualized_net_return,worst_annualized_net_return,best_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return
tcn,3,15,0.5,3,52092,-12.3489346119,-12.0542379594,-13.3000874925,-11.692478384,-2.38779948122,-2.33815398314,-2.5594509316,-2.2657935289,0.193396751317,0.461875143976,1.36489768103,-1.18326912648
transformer,3,15,0.5,3,52092,-6.91301182924,-7.352258894,-7.9502902478,-5.43648634592,-1.48440125769,-1.55920172323,-1.70985983978,-1.18414221006,0.214984618212,0.485487214927,1.04941257775,-0.735591993108
lightgbm,6,30,0.5,6,52092,-0.206655092491,-0.17471913727,-1.26408275039,0.457575855103,-0.045226060623,-0.0383804347716,-0.276936666034,0.101637351155,0.220043090621,0.507736312678,0.26518467327,-0.0224116814115
mlp,6,30,0.5,6,52092,-6.32688715312,-6.64226322782,-7.20978727403,-4.82369536832,-1.09734765284,-1.13058815204,-1.24975318436,-0.838811103447,0.173587153179,0.480188896568,1.44890290256,-0.543788374541
momentum_12,6,30,0.5,6,52092,-10.6252401928,-10.2791384652,-12.9761323337,-9.48463834958,-2.37859540415,-2.29024280883,-2.89421211312,-2.12611923971,0.223911826715,0.441430545957,1.13724756201,-1.178708065
reversal_12,6,30,0.5,6,52092,1.73588556953,1.36567116435,0.666130228251,3.97736654101,0.388001198805,0.304066929216,0.149242313448,0.886544090217,0.22378843241,0.518966443984,1.13716117638,0.192273196805
ridge,6,30,0.5,6,52092,-2.42710414137,-2.10971938289,-4.10043099331,-1.25266725768,-0.524285685731,-0.452771183095,-0.905740153624,-0.27182153001,0.215786737744,0.486178299931,1.36938973355,-0.259808694265
tcn,6,30,0.5,6,52092,-6.68645141689,-6.37466702416,-8.67717351127,-5.19291774119,-1.25559374845,-1.1972047827,-1.60888067079,-0.986639500102,0.188040918455,0.469861015127,1.3787337787,-0.622206902059
transformer,6,30,0.5,6,52092,-3.15549626443,-3.48715562327,-3.90105892322,-1.94980659925,-0.666206306516,-0.729469455397,-0.819007360495,-0.415272095426,0.211421012508,0.490439990786,1.05118828227,-0.330137166277
lightgbm,12,60,0.5,12,52092,-0.120239388718,-0.288550606805,-1.14910646816,1.19705582559,-0.0247363665338,-0.0613791173032,-0.24700543619,0.258852064088,0.21416474069,0.511690854642,0.335065845043,-0.0122580556077
mlp,12,60,0.5,12,52092,-3.39057865742,-3.26663697145,-4.80919274157,-2.16064617082,-0.582334641897,-0.574209901253,-0.833161814114,-0.366970407226,0.171814747648,0.487080549797,1.48619749674,-0.288574735214
momentum_12,12,60,0.5,12,52092,-6.87127380457,-6.74575795296,-8.34373962549,-5.81838799888,-1.50545511345,-1.46495536304,-1.81017552128,-1.27413983467,0.219196540437,0.443407816939,1.55794075866,-0.746025188068
reversal_12,12,60,0.5,12,52092,0.6386654805,0.450657317521,-0.455863343884,1.98100190263,0.139458384198,0.097054022001,-0.0998189848052,0.429366576283,0.219137307256,0.518486523842,1.55781597942,0.0691083157308
ridge,12,60,0.5,12,52092,-1.08213663519,-1.14593026691,-3.13155370215,0.809894753732,-0.227259802381,-0.241846702564,-0.659795936575,0.172163275856,0.210589918562,0.486984565768,1.39317457575,-0.112618128098
tcn,12,60,0.5,12,52092,-3.64836085299,-3.45294052523,-5.52244248366,-2.04932864316,-0.671094192707,-0.642481962394,-0.984971852628,-0.368346877825,0.18408436189,0.478960301006,1.40961184059,-0.332559348235
transformer,12,60,0.5,12,52092,-0.984972041399,-0.775675741422,-2.85898401758,-0.192225005185,-0.203300810756,-0.162043042548,-0.586355575057,-0.0398671721792,0.207361076975,0.496007064424,1.00893131383,-0.100745299029
lightgbm,24,120,0.5,24,52056,0.233822567198,0.36315869793,-1.28355312319,1.73955369164,0.0493236278676,0.0760940286219,-0.263837318658,0.37352559608,0.21211966927,0.511161057323,0.395377093899,0.0244253307865
mlp,24,120,0.5,24,52056,-1.86447643535,-1.79713445626,-4.17618724379,-0.151685736874,-0.312659699219,-0.294141901518,-0.651586873688,-0.0254461354728,0.168133982454,0.493065160596,1.51728427079,-0.154830796257
momentum_12,24,120,0.5,24,52056,-3.94286246597,-3.90636971183,-6.54979696643,-2.2456958237,-0.843237859813,-0.819821251073,-1.42660554959,-0.476225487995,0.213606945126,0.453300291993,1.54040840633,-0.417576008661
reversal_12,24,120,0.5,24,52056,0.785032119101,0.677622389081,-0.892808197291,3.45682342251,0.168841278186,0.142320790539,-0.189223507014,0.752707697799,0.213554909188,0.520170585523,1.54049004918,0.0836111261156
ridge,24,120,0.5,24,52056,-0.465080355639,-0.204650019455,-2.04339682732,1.28722075634,-0.0954874530567,-0.0404572846908,-0.423738687666,0.263711711134,0.204427287007,0.486937144613,1.40664380667,-0.0472859099726
tcn,24,120,0.5,24,52056,-2.20412859111,-2.23166451323,-4.62229220918,-0.0212454340346,-0.394586490253,-0.395878434129,-0.806190012822,-0.00389355078769,0.179594648155,0.486898724451,1.41349700323,-0.195401392091
transformer,24,120,0.5,24,52056,-0.0915497976931,0.0404978096275,-1.72394702904,1.90593049344,-0.0184731077509,0.0082904235962,-0.350944726604,0.383147602639,0.2045797971,0.505705394191,1.0669807515,-0.00914798418077
lightgbm,3,15,1,3,52092,-1.84772657596,-1.89143916058,-2.79007987359,-0.861660693724,-0.416089632207,-0.422635955894,-0.633298909403,-0.192334031325,0.224547436422,0.500959840283,0.210968094909,-0.206192362262
mlp,3,15,1,3,52092,-26.0850123831,-25.8658342211,-28.310716419,-24.0784865091,-4.62296829931,-4.59568003199,-4.95233891149,-4.32088595446,0.177350630749,0.427474468248,1.41317284804,-2.29090244147
momentum_12,3,15,1,3,52092,-20.2781598658,-20.3537445322,-21.26505774,-19.2156773253,-4.65326338312,-4.67650328699,-4.87325285085,-4.41003401153,0.229476786269,0.427301696998,0.838981993396,-2.30591510801
reversal_12,3,15,1,3,52092,-5.34197254569,-5.13105604215,-6.39325733941,-4.50160425551,-1.2254095715,-1.17837969585,-1.46672697162,-1.03112204701,0.229376910752,0.494144974276,0.838698840513,-0.60724919519
ridge,3,15,1,3,52092,-17.5814937753,-17.7577352318,-19.030943538,-15.955802556,-3.90157976081,-3.99368623823,-4.12967219098,-3.58138085322,0.222117497239,0.438301466636,1.36730208093,-1.93341983352
tcn,3,15,1,3,52092,-24.7043802299,-24.3619390908,-25.7225580849,-24.0286435139,-4.77910021837,-4.72745356849,-4.95185314307,-4.65799394355,0.193470883376,0.42234892114,1.36489768103,-2.36827329315
transformer,3,15,1,3,52092,-15.456527405,-16.0014298313,-16.5301112038,-13.83804118,-3.3229720939,-3.39560324362,-3.55794035118,-3.01537268691,0.215116927126,0.459801888966,1.04941257775,-1.64669199311
lightgbm,6,30,1,6,52092,-1.26229738812,-1.23877435462,-2.31570368943,-0.569916927044,-0.277527834408,-0.272136827308,-0.507413860229,-0.126594853406,0.220058253088,0.503589802657,0.26518467327,-0.137528348078
mlp,6,30,1,6,52092,-13.6395283853,-14.0883496996,-14.5243275899,-12.1658396151,-2.36658659548,-2.39794786178,-2.51786963218,-2.11575616219,0.173602439336,0.44932043308,1.44890290256,-1.17275712454
momentum_12,6,30,1,6,52092,-15.0688818318,-14.7471173283,-17.4525370237,-13.8824247617,-3.37482426847,-3.28674073558,-3.89441805645,-3.1134606357,0.223996123967,0.422118559472,1.13724756201,-1.67238723167
reversal_12,6,30,1,6,52092,-2.71566772132,-3.10931848426,-3.74111614397,-0.510219775369,-0.608151991704,-0.692304874516,-0.838048633338,-0.113712302319,0.223778587986,0.499097750134,1.13716117638,-0.301368469862
ridge,6,30,1,6,52092,-7.98738337024,-7.68683008486,-9.53247210445,-6.76777806169,-1.72387109232,-1.64916147335,-2.10567450055,-1.46903161985,0.215817759068,0.460013053828,1.36938973355,-0.854260777598
