model,cost_bps,cohort_count,total_periods,mean_cohort_net_return,median_cohort_net_return,worst_cohort_net_return,best_cohort_net_return,mean_cohort_annualized_net_return,median_cohort_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction,pooled_mean_net_return,pooled_annualized_net_return,pooled_cumulative_net_log_return,mean_turnover
tcn,4.7,12,52092,-0.000668645899156,-0.000666525602873,-0.000706157746524,-0.000633057714451,-5.85733807661,-5.83876428116,-6.18594185955,-5.54558557859,0,-0.000668645899156,-5.85733807661,-34.8311021789,1.40961184059
tcn,4.8,12,52092,-0.000682742017562,-0.000680729127406,-0.000720293890269,-0.000647129356929,-5.98082007385,-5.96318715608,-6.30977447876,-5.6688531667,0,-0.000682742017562,-5.98082007385,-35.5653971789,1.40961184059
tcn,4.9,12,52092,-0.000696838135968,-0.00069493265194,-0.000734430034015,-0.000661200999408,-6.10430207108,-6.08761003099,-6.43360709797,-5.79212075481,0,-0.000696838135968,-6.10430207108,-36.2996921789,1.40961184059
tcn,5,12,52092,-0.000710934254374,-0.000709136176473,-0.000748566177761,-0.000675272641887,-6.22778406832,-6.21203290591,-6.55743971718,-5.91538834293,0,-0.000710934254374,-6.22778406832,-37.0339871789,1.40961184059
tcn,5.1,12,52092,-0.00072503037278,-0.000723339701007,-0.000762702321506,-0.000689344284366,-6.35126606555,-6.33645578082,-6.6812723364,-6.03865593104,0,-0.00072503037278,-6.35126606555,-37.7682821789,1.40961184059
tcn,5.2,12,52092,-0.000739126491186,-0.00073754322554,-0.000776838465252,-0.000703415926844,-6.47474806279,-6.46087865573,-6.80510495561,-6.16192351916,0,-0.000739126491186,-6.47474806279,-38.5025771789,1.40961184059
tcn,5.3,12,52092,-0.000753222609592,-0.000751746750074,-0.000790974608998,-0.000717487569323,-6.59823006002,-6.58530153065,-6.92893757482,-6.28519110727,0,-0.000753222609592,-6.59823006002,-39.2368721789,1.40961184059
tcn,5.4,12,52092,-0.000767318727998,-0.000765950274607,-0.000805110752744,-0.000731559211802,-6.72171205726,-6.70972440556,-7.05277019403,-6.40845869538,0,-0.000767318727998,-6.72171205726,-39.9711671789,1.40961184059
tcn,5.5,12,52092,-0.000781414846404,-0.000780153799141,-0.000819246896489,-0.00074563085428,-6.8451940545,-6.83414728047,-7.17660281325,-6.5317262835,0,-0.000781414846404,-6.8451940545,-40.7054621789,1.40961184059
tcn,5.6,12,52092,-0.00079551096481,-0.000794357323675,-0.000833383040235,-0.000759702496759,-6.96867605173,-6.95857015539,-7.30043543246,-6.65499387161,0,-0.00079551096481,-6.96867605173,-41.4397571789,1.40961184059
