model,fold,month,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
ridge,2,2026-03,0,8928,12,0.581798335095,12611.75,1.41260640681,0.461314516301,6.51655841281e-05,6.51655841281e-05,6.51655841281e-05,0.570850516962,0.570850516962,-0.112963433002,1.09443460865,0.916666666667
ridge,2,2026-03,0.5,8928,12,0.581798335095,12611.75,1.41260640681,0.461314516301,6.51655841281e-05,-5.46473621244e-06,-5.46473621244e-06,-0.0478710892209,-0.0478710892209,-0.731991658808,0.460099931232,0.5
ridge,2,2026-03,1,8928,12,0.581798335095,12611.75,1.41260640681,0.461314516301,6.51655841281e-05,-7.60950565529e-05,-7.60950565529e-05,-0.666592695404,-0.666592695404,-1.35101988461,-0.166476363192,0
ridge,2,2026-04,0,8628,12,0.281198115979,12355.5,1.43202364395,0.227589426554,3.25913439939e-05,3.25913439939e-05,3.25913439939e-05,0.285500173386,0.285500173386,-1.20475584545,0.984935081697,0.75
ridge,2,2026-04,0.5,8628,12,0.281198115979,12355.5,1.43202364395,0.227589426554,3.25913439939e-05,-3.90098382036e-05,-3.90098382036e-05,-0.341726182664,-0.341726182664,-1.83936850191,0.358241757636,0.25
ridge,2,2026-04,1,8628,12,0.281198115979,12355.5,1.43202364395,0.227589426554,3.25913439939e-05,-0.000110611020401,-0.000110611020401,-0.968952538714,-0.968952538714,-2.47398115838,-0.268451566425,0
ridge,3,2026-05,0,8928,12,0.704954503454,12072.75,1.35223454301,0.583922058731,7.89599578242e-05,7.89599578242e-05,7.89599578242e-05,0.69168923054,0.69168923054,-0.0810858696819,2.05371462536,0.916666666667
ridge,3,2026-05,0.5,8928,12,0.704954503454,12072.75,1.35223454301,0.583922058731,7.89599578242e-05,1.13482306737e-05,1.13482306737e-05,0.0994105007012,0.0994105007012,-0.657285466456,1.45764607698,0.416666666667
ridge,3,2026-05,1,8928,12,0.704954503454,12072.75,1.35223454301,0.583922058731,7.89599578242e-05,-5.62634964769e-05,-5.62634964769e-05,-0.492868229138,-0.492868229138,-1.23348506323,0.861577528591,0.166666666667
ridge,3,2026-06,0,8628,12,0.404180256685,11647,1.34990727863,0.347025205362,4.68451850585e-05,4.68451850585e-05,4.68451850585e-05,0.410363821112,0.410363821112,-0.218595659772,1.58533157327,0.666666666667
