model,top_count,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,2,0,0,4341,4.81346278857e-05,0.421659340278,0.296971419962,1.41986505076,0.51209398756,0.516125316747,0.208952419652
lightgbm,2,0,1,4341,2.32856352105e-05,0.203982164444,0.298401332655,0.683583289088,0.506334945865,0.517507486754,0.101082942449
lightgbm,2,0,2,4341,6.1929341162e-07,0.00542501028579,0.286957826936,0.0189052528858,0.507486754204,0.519465560931,0.00268835269984
lightgbm,2,0,3,4341,2.91195534256e-05,0.255087288008,0.289121433271,0.882284253788,0.508177839208,0.519580741765,0.12640798142
lightgbm,2,0,4,4341,3.43488620169e-05,0.300896031268,0.290983924002,1.03406410612,0.504952775858,0.512900253398,0.149108410015
lightgbm,2,0,5,4341,3.51198985022e-05,0.307650310879,0.294992159703,1.04291012747,0.510942179221,0.51796821009,0.152455479398
lightgbm,2,0,6,4341,-1.0452670282e-05,-0.0915653916704,0.298950726202,-0.30628924316,0.497811564156,0.538815941027,-0.0453750416942
lightgbm,2,0,7,4341,1.30038173098e-05,0.113913439634,0.292129516693,0.389941560591,0.504031329187,0.528564846809,0.0564495709418
lightgbm,2,0,8,4341,2.58670656685e-05,0.226595495256,0.29621728138,0.764963793471,0.515088689242,0.525800506796,0.112288932067
lightgbm,2,0,9,4341,-1.53053681397e-05,-0.134075024903,0.293700460153,-0.456502604162,0.507026030868,0.521653996775,-0.0664406030942
lightgbm,2,0,10,4341,-1.88387120565e-06,-0.0165027117615,0.291366999164,-0.0566389186448,0.505874222529,0.525224602626,-0.00817788490371
lightgbm,2,0,11,4341,5.42444585837e-05,0.475181457193,0.295393939938,1.60863644424,0.516240497581,0.519926284266,0.235475194712
lightgbm,2,0.25,0,4341,3.5231494967e-05,0.308627895911,0.296978164882,1.03922756757,0.509099285879,0.516125316747,0.152939919652
lightgbm,2,0.25,1,4341,1.03479480417e-05,0.0906480248452,0.298397704391,0.303782581137,0.504952775858,0.517507486754,0.044920442449
lightgbm,2,0.25,2,4341,-1.23673456116e-05,-0.108337947558,0.286961925997,-0.37753422229,0.504031329187,0.519465560931,-0.0536866473002
lightgbm,2,0.25,3,4341,1.61300348814e-05,0.141299105562,0.289105065686,0.488746557333,0.505183137526,0.519580741765,0.0700204814204
lightgbm,2,0.25,4,4341,2.15263556819e-05,0.188570875774,0.290995958063,0.648018883249,0.502879520848,0.512900253398,0.0934459100153
lightgbm,2,0.25,5,4341,2.21706932499e-05,0.194215272869,0.295039727941,0.658268207556,0.508408200875,0.51796821009,0.0962429793979
lightgbm,2,0.25,6,4341,-2.39230688077e-05,-0.209566082755,0.298972811808,-0.700953646882,0.49527758581,0.538815941027,-0.103850041694
lightgbm,2,0.25,7,4341,-2.10303860453e-07,-0.00184226181757,0.292135831253,-0.00630618233194,0.502188435844,0.528564846809,-0.000912929058228
lightgbm,2,0.25,8,4341,1.27220529986e-05,0.111445184268,0.296209691786,0.376237467437,0.513015434232,0.525800506796,0.0552264320669
lightgbm,2,0.25,9,4341,-2.8346718059e-05,-0.248317250197,0.293703927801,-0.845467924301,0.503570605851,0.521653996775,-0.123053103094
lightgbm,2,0.25,10,4341,-1.50144862713e-05,-0.131526899737,0.291370458843,-0.451407806608,0.503340244183,0.525224602626,-0.0651778849037
lightgbm,2,0.25,11,4341,4.1246301477e-05,0.361317600939,0.295421593174,1.22305751945,0.515088689242,0.519926284266,0.179050194712
lightgbm,2,0.5,0,4341,2.23283620483e-05,0.195596451543,0.296990626532,0.658594696496,0.507717115872,0.516125316747,0.0969274196516
lightgbm,2,0.5,1,4341,-2.58973912716e-06,-0.0226861147539,0.298399680563,-0.0760259351187,0.503109882516,0.517507486754,-0.011242057551
